"aby”, "abought”, "abought"
"arise”, "arose”, "arisen"
"awake”, "awoke”, "awaked"
"bear”, "bore”, "born"
"beat”, "beat”, "beaten"
"become”, "became”, "become"
"befall”, "befell”, "befallen"
"beget”, "begot”, "begotten"
"begin”, "began”, "begun"
"behold”, "beheld”, "beheld"
"bend”, "bent”, "bent"
"beset”, "beset" "beset"
"bet”, "bet”, "bet"
"bid”, "bid”, "bid"
"bind”, "bound”, "bound"
"bite”, "bit”, "bitten"
"bleed”, "bled”, "bled"
"blow”, "blew”, "blown"
"break”, "broke”, "broken"
"breed”, "bred”, "bred"
"bring”, "brought”, "brought"
"broadcast”, "broadcast”, "broadcast"
"build”, "built”, "built"
"buy”, "bought”, "bought"
"cast”, "cast”, "cast"
"catch”, "caught”, "caught"
"choose”, "chose" "chosen"
"come”, "came”, "come"
"colorcast”, "colorcast”, "colorcast"
"cost”, "cost”, "cost"
"creep”, "crept”, "crept"
"cut”, "cut”, "cut"
"deal”, "dealt”, "dealt"
"die cast”, "die cast”, "die cast"
"die-cast”, "die-cast”, "die-cast"
"dig”, "dug”, "dug"
"dive”, "dove”, "dived"
"do”, "did”, "done"
"draw”, "drew”, "drawn"
"drink”, "drank”, "drunk"
"drive”, "drove”, "driven"
"eat”, "ate”, "eaten"
"feed”, "fed”, "fed"
"feel”, "felt”, "felt"
"fight”, "fought”, "fought"
"find”, "found”, "found"
"flee”, "fled”, "fled"
"fling”, "flung”, "flung"
"fly”, "flew”, "flown"
"forbid”, "forbade”, "forbidden"
"forecast”, "forecast”, "forecast"
"forget”, "forgot”, "forgotten"
"forgive”, "forgave”, "forgiven"
"forgo”, "forwent”, "forgone"
"foresee”, "foresaw”, "foreseen"
"forsake”, "forsook”, "forsaken"
"freeze”, "froze”, "frozen"
"get”, "got”, "got"
"give”, "gave”, "given"
"go”, "went”, "gone"
"grind”, "ground”, "ground"
"grow”, "grew”, "grown"
"hang”, "hung”, "hung"
"have”, "had”, "had"
"hear”, "heard”, "heard"
"hide”, "hid”, "hidden"
"hit”, "hit”, "hit"
"hold”, "held”, "held"
"hurt”, "hurt”, "hurt"
"keep”, "kept”, "kept"
"kneel”, "knelt”, "knelt"
"knit”, "knit”, "knit"
"know”, "knew”, "known"
"lay”, "laid”, "laid"
"lead”, "led”, "led"
"leave" "left”, "left"
"lend”, "lent”, "lent"
"let”, "let”, "let"
"lie”, "lay”, "lain"
"lie”, "lied”, "lied"
"light”, "lit”, "lit"
"lose”, "lost”, "lost"
"make”, "made”, "made"
"mean”, "meant”, "meant"
"meet”, "met”, "met"
"mislay”, "mislaid”, "mislaid"
"mislead”, "misled”, "misled"
"misspend”, "misspent”, "misspent"
"mistake”, "mistook”, "mistaken"
"misunderstand”, "misunderstood”, "misunderstood"
"offset”, "offset”, "offset"
"outbid”, "outbid”, "outbid"
"outdo”, "outdid”, "outdone"
"outgrow”, "outgrew”, "outgrown"
"outrun”, "outran”, "outrun"
"outsell”, "outsold”, "outsold"
"overbuy”, "overbought”, "overbought"
"overcome”, "overcame”, "overcome"
"overcast”, "overcast”, "overcast"
"overdo”, "overdid”, "overdone"
"overfly”, "overflew”, "overflown"
"overhear”, "overheard”, "overheard"
"overpay”, "overpaid”, "overpaid"
"override”, "overrode”, "overridden"
"overrun”, "overran”, "overrun"
"oversee”, "oversaw”, "overseen"
"oversell”, "oversold”, "oversold"
"overtake”, "overtook”, "overtaken"
"overthrow”, "overthrew”, "overthrown"
"partake”, "partook”, "partaken"
"pay”, "paid”, "paid"
"prepay”, "prepaid”, "prepaid"
"preset”, "preset”, "preset"
"put”, "put”, "put"
"quit”, "quit”, "quit"
"read”, "read”, "read"
"rebid”, "rebid”, "rebid"
"rebroadcast”, "rebroadcast”, "rebroadcast"
"rebuild”, "rebuilt”, "rebuilt"
"recast”, "recast”, ”recast"
"remake”, "remade”, "remade"
"repay”, "repaid”, "repaid"
"resell”, "resold”, "resold"
"reset”, "reset”, "reset"
"rewind”, "rewound”, "rewound"
"rewrite”, "rewrote”, "rewritten"
"ride”, "rode”, "ridden"
"ring”, "rang”, "rung"
"rise”, "rose”, "risen"
"run”, "ran”, "run"
"say”, "said”, "said"
"see”, "saw”, "seen"
"seek”, "sought”, "sought"
"sell”, "sold”, "sold"
"send”, "sent”, "sent"
"set”, "set”, "set"
"shake”, "shook”, "shaken"
"shed”, "shed”, "shed"
"shoot”, "shot”, "shot"
"show”, "showed”, "shown"
"shrink”, "shrank”, "shrunk"
"shut”, "shut”, "shut"
"sing”, "sang”, "sung"
"sink”, "sank”, "sunk"
"sit”, "sat”, "sat"
"slay”, "slew”, "slain"
"sleep”, "slept”, "slept"
"slide”, "slid”, "slid"
"sling”, "slung”, "slung"
"sow”, "sowed”, "sown"
"speak”, "spoke”, "spoken"
"speed”, "sped”, "sped"
"spend”, "spent”, "spent"
"spin”, "spun”, "spun"
"split”, "split”, "split"
"spread”, "spread”, "spread"
"spring”, "sprang”, "sprung"
"stand”, "stood”, "stood"
"steal”, "stole”, "stolen"
"stick”, "stuck”, "stuck"
"sting”, "stung”, "stung"
"strew”, "strewed”, "strewn"
"stride”, "strode”, "strode"
"strike”, "struck”, "struck"
"string”, "strung”, "strung"
"strive”, "strove”, "striven"
"sublet”, "sublet”, "sublet"
"sweep”, "swept”, "swept"
"swear”, "swore”, "sworn"
"swim”, ”swam”, "swum"
"swing”, "swung”, "swung"
"take”, "took”, "taken"
"teach”, "taught”, "taught"
"tear”, "tore”, "torn"
"telecast”, "telecast”, "telecast"
"tell”, "told”, "told"
"think”, "thought”, "thought"
"throw”, "threw”, "thrown"
"typeset”, "typeset”, "typeset"
"undercut”, "undercut”, "undercut"
"undergo”, "underwent”, "undergone"
"underlie”, "underlay”, "underlain"
"undersell”, "undersold”, "undersold"
"understand”, "understood”, "understood"
"undertake”, "undertook”, "undertaken"
"underwrite”, "underwrote”, "underwritten"
"undo”, "undid”, "undone"
"unwind”, "unwound”, "unwound"
"uphold”, "upheld”, "upheld"
"upset”, "upset”, "upset"
"wake”, "woke”, "woken"
"wear”, "wore”, "worn"
"weave”, "wove”, "woven"
"wed”, "wed”, "wed"
"weep”, "wept”, "wept"
"win”, "won”, "won"
"wind”, "wound”, "wound"
"withdraw”, "withdrew”, "withdrawn"
"withhold”, "withheld”, "withheld"
"withstand”, "withstood”, "withstood"
"wring”, "wrung”, "wrung"
"write”, "wrote”, "written"
"dye”, “dyeing”, “dyed”,
"eye”, “eyeing”,
"singe”, “singeing”,
"stymie”, “stymieing”,
"swinge”, “swingeing”,
